date,type,reason,available
2026-09-01,Working Day,Semester begins,true
2026-09-02,Working Day,Regular instructional day,true
2026-09-03,Working Day,Regular instructional day,true
2026-09-04,Working Day,Regular instructional day,true
2026-09-05,Holiday,College holiday,false
2026-09-06,Holiday,Sunday,false
2026-09-07,Working Day,Regular instructional day,true
2026-09-08,Working Day,Regular instructional day,true
2026-09-09,Working Day,Regular instructional day,true
2026-09-10,Working Day,Regular instructional day,true
2026-09-11,Working Day,Regular instructional day,true
2026-09-12,Holiday,Saturday,false
2026-09-13,Holiday,Sunday,false
2026-09-14,Working Day,Regular instructional day,true
2026-09-15,Working Day,Regular instructional day,true
2026-09-16,Working Day,Regular instructional day,true
2026-09-17,Working Day,Regular instructional day,true
2026-09-18,Working Day,Regular instructional day,true
2026-09-19,Holiday,Saturday,false
2026-09-20,Holiday,Sunday,false
2026-09-21,Working Day,Regular instructional day,true
2026-09-22,Working Day,Regular instructional day,true
2026-09-23,Working Day,Regular instructional day,true
2026-09-24,Working Day,Regular instructional day,true
2026-09-25,Working Day,Regular instructional day,true
2026-09-26,Holiday,Saturday,false
2026-09-27,Holiday,Sunday,false
2026-09-28,Working Day,Regular instructional day,true
2026-09-29,Working Day,Regular instructional day,true
2026-09-30,Working Day,Regular instructional day,true
